I,o,d
334,134,342
335,256,12
336,228,447
337,61,76
338,390,445
339,291,287
340,9,27
341,213,79
342,272,237
343,449,113
344,103,341
345,107,300
346,300,138
347,109,117
348,77,302
349,366,300
350,26,271
351,426,368
352,401,326
353,195,409
354,202,72
355,329,12
356,129,453
357,201,362
358,93,140
359,258,169
360,204,452
361,63,291
362,161,181
363,157,54
364,435,99
365,305,346
366,15,252
367,127,251
368,61,170
369,380,54
370,178,55
371,407,307
372,95,288
373,69,50
374,118,430
375,293,53
376,330,375
377,80,427
378,369,249
379,448,166
380,222,428
381,417,414
382,315,82
383,38,105
384,262,436
385,118,235
386,392,275
387,154,108
388,25,18
389,451,307
390,150,146
391,200,440
392,345,376
393,292,9
394,282,284
395,358,216
396,98,399
397,181,209
398,127,329
399,39,442
400,59,402
401,70,370
402,340,173
403,446,431
404,225,304
405,105,37
406,203,366
407,125,1
408,307,203
409,256,298
410,303,191
411,173,411
412,123,377
413,217,320
414,415,133
415,344,28
416,210,320
417,17,28
418,364,267
419,171,247
420,167,118
421,91,398
422,377,398
423,245,145
424,270,410
425,175,308
426,213,447
427,309,282
428,94,147
429,432,450
430,239,150
431,67,397
432,315,283
433,415,287
434,25,365
435,332,399
436,19,279
437,412,277
438,393,132
439,238,235
440,141,39
441,84,2
442,23,256
443,14,267
444,197,191
445,56,72
446,311,58
447,40,453
448,173,427
449,370,34
450,425,317
451,62,158
452,137,30
453,98,335
454,335,49
455,437,231
456,232,428
457,204,155
458,410,159
459,202,84
460,290,27
461,401,306
462,186,193
463,356,85
464,283,226
465,413,87
466,309,117
467,135,400
468,79,236
469,194,448
470,267,382
471,340,284
472,54,144
473,370,381
474,17,282
475,261,418
476,93,286
477,182,36
478,417,37
479,306,137
480,4,197
481,32,18
482,402,58
483,284,390
484,356,316
485,294,446
486,319,21
487,417,46
488,443,7
489,176,315
490,297,215
491,422,225
492,48,134
493,100,105
494,263,271
495,274,194
496,159,256
497,223,115
498,306,314
499,118,142
500,291,403
501,130,199
502,442,115
503,15,355
504,112,152
505,369,96
506,410,7
507,280,193
508,121,425
509,401,318
510,206,74
511,133,97
512,36,288
513,221,330
514,162,254
515,22,383
516,27,346
517,40,280
518,40,180
519,305,267
520,159,337
521,302,152
522,290,376
523,401,346
524,220,143
525,107,137
526,340,236
527,397,210
528,353,357
529,405,208
530,416,139
531,96,449
532,113,50
533,199,374
534,336,366
535,147,292
536,238,96
537,348,87
538,438,47
539,325,428
540,305,337
541,364,65
542,176,34
543,164,119
544,96,46
545,42,43
546,65,196
547,1,59
548,395,309
549,97,27
550,186,188
551,366,256
552,94,324
553,212,55
554,247,252
555,433,64
556,240,155
557,23,163
558,395,432
559,327,174
560,446,342
561,220,39
562,218,189
563,42,324
564,216,142
565,78,126
566,376,370
567,363,358
568,52,137
569,193,166
570,445,432
571,16,421
572,68,159
573,144,69
574,190,129
575,258,76
576,53,104
577,208,55
578,170,327
579,162,301
580,319,49
581,27,306
582,266,364
583,182,334
584,325,245
585,452,7
586,308,60
587,312,454
588,144,154
589,439,17
590,92,224
591,405,154
592,91,310
593,198,259
594,121,46
595,301,217
596,64,237
597,285,4
598,246,12
599,390,32
600,114,369
601,441,317
602,359,30
603,360,106
604,431,187
605,167,427
606,199,307
607,258,321
608,114,112
609,156,221
610,40,356
611,373,148
612,57,236
613,62,375
614,24,300
615,409,122
616,301,381
617,286,129
618,44,237
619,312,3
620,33,244
621,325,451
622,317,395
623,53,139
624,20,390
625,384,398
626,312,394
627,233,65
628,446,391
629,306,307
630,64,312
631,248,444
632,93,263
633,81,188
634,316,28
635,310,326
636,294,445
637,423,17
638,121,70
639,220,26
640,194,35
641,384,222
642,24,269
643,41,77
644,376,261
645,239,11
646,378,341
647,159,185
648,330,52
649,322,130
650,447,53
651,409,199
652,20,440
653,197,125
654,21,184
655,178,128
656,177,356
657,387,332
658,384,250
659,246,328
660,159,309
661,119,113
662,437,261
663,231,46
664,358,397
665,325,172
666,273,277
667,266,190
668,250,164
669,370,30
670,177,38
671,206,226
672,58,413
673,447,303
674,406,415
675,411,416
676,259,199
677,160,192
678,181,60
679,21,245
680,146,348
681,224,45
682,270,205
683,256,11
684,359,88
685,360,382
686,348,367
687,407,373
688,267,105
689,59,111
690,208,236
691,19,268
692,339,99
693,335,20
694,187,106
695,109,265
696,66,146
697,378,237
698,41,282
699,391,373
700,155,215
701,399,89
702,61,347
703,190,206
704,359,177
705,274,437
706,362,190
707,1,80
708,441,40
709,58,441
710,345,437
711,174,329
712,427,60
713,196,79
714,313,441
715,74,429
716,202,118
717,336,60
718,311,210
719,404,180
720,334,29
721,290,122
722,360,267
723,235,21
724,430,274
725,377,387
726,250,178
727,281,196
728,111,82
729,128,366
730,313,320
731,15,440
732,179,249
733,95,199
734,288,246
735,164,209
736,86,16
737,58,418
738,45,315
739,41,209
740,248,205
741,199,89
742,361,443
743,302,134
744,130,14
745,237,400
746,341,309
747,381,131
748,35,423
749,137,60
750,413,119
751,448,259
752,249,137
753,101,108
754,96,266
755,86,133
756,64,77
757,172,5
758,323,360
759,447,7
760,105,83
761,312,364
762,121,405
763,257,56
764,306,315
765,148,356
766,251,239
767,98,32
768,252,365
769,288,251
770,393,412
771,226,74
772,236,99
773,228,102
774,8,288
775,346,313
776,63,19
777,150,33
778,327,385
779,365,363
780,360,1
781,407,239
782,49,108
783,67,410
784,162,244
785,169,186
786,129,113
787,43,196
788,284,150
789,281,97
790,331,332
791,136,178
792,92,30
793,346,135
794,78,158
795,342,391
796,246,407
797,391,98
798,78,267
799,156,313
800,350,339
801,207,434
802,4,277
803,3,423
804,19,325
805,162,317
806,273,291
807,139,355
808,435,282
809,311,83
810,60,79
811,171,371
812,152,93
813,421,452
814,205,285
815,361,3
816,436,1
817,231,30
818,282,364
819,194,373
820,356,242
821,442,327
822,325,433
823,130,152
824,279,256
825,241,22
826,263,232
827,122,91
828,316,53
829,229,382
830,77,98
831,369,167
832,201,239
833,118,135
834,335,126
835,137,177
836,70,349
837,140,440
838,419,98
839,82,65
840,353,90
841,297,140
842,370,95
843,292,157
844,403,326
845,373,220
846,175,405
847,172,317
848,355,153
849,156,259
850,425,59
851,297,150
852,0,66
853,4,262
854,172,42
855,7,421
856,228,27
857,229,193
858,425,391
859,91,117
860,292,42
861,421,226
862,383,337
863,267,94
864,91,346
865,259,311
866,449,105
867,271,95
868,453,140
869,414,310
870,17,130
871,81,25
872,30,253
873,289,247
874,150,51
875,43,123
876,219,337
877,145,374
878,16,58
879,280,15
880,323,282
881,30,166
882,337,150
883,99,291
884,454,300
885,314,270
886,29,399
887,156,158
888,228,266
889,278,139
890,59,269
891,293,431
892,42,220
893,13,450
894,279,220
895,324,27
896,124,92
897,295,289
898,35,375
899,96,143
900,282,329
901,404,397
902,391,13
903,49,127
904,405,72
905,316,6
906,47,58
907,116,63
908,252,119
909,96,8
910,49,450
911,396,241
912,293,60
913,23,220
914,58,452
915,90,128
916,103,50
917,174,172
918,18,162
919,180,222
920,61,29
921,44,207
922,8,315
923,213,73
924,33,431
925,66,364
926,85,75
927,404,293
928,5,172
929,92,195
930,265,206
931,337,208
932,424,19
933,441,434
934,144,101
935,228,126
936,293,281
937,115,188
938,370,227
939,258,193
940,331,253
941,442,282
942,313,116
943,303,106
944,117,151
945,234,139
946,168,57
947,256,84
948,280,190
949,430,408
950,211,28
951,323,314
952,38,139
953,174,20
954,400,316
955,108,250
956,437,101
957,229,175
958,319,149
959,419,218
960,135,223
961,234,185
962,255,221
963,404,446
964,45,286
965,369,306
966,392,413
967,307,23
968,116,225
969,8,120
970,262,308
971,178,131
972,263,31
973,35,46
974,195,4
975,310,137
976,412,59
977,59,406
978,389,57
979,329,153
980,334,50
981,211,399
982,205,312
983,372,374
984,403,428
985,64,246
986,392,115
987,251,191
988,19,434
989,120,408
990,125,237
991,386,296
992,46,291
993,288,220
994,121,35
995,229,248
996,162,118
997,41,23
998,216,34
999,286,113
1000,322,239
1001,273,48
1002,309,88
1003,344,256
1004,305,394
1005,58,305
1006,128,391
1007,321,402
1008,89,399
1009,410,296
1010,351,355
1011,42,126
1012,150,413
1013,104,72
1014,351,137
1015,212,445
1016,439,423
1017,176,256
1018,52,313
1019,16,403
1020,246,154
1021,212,354
1022,136,338
1023,145,365
1024,87,425
1025,444,65
1026,55,13
1027,133,1
1028,25,279
1029,111,394
1030,325,444
1031,376,169
1032,372,140
1033,283,358
1034,146,142
1035,452,188
1036,211,378
1037,16,290
1038,24,104
1039,364,229
1040,48,430
1041,296,329
1042,139,121
1043,377,178
1044,427,63
1045,35,234
1046,267,436
1047,313,261
1048,427,149
1049,341,349
1050,252,266
1051,375,368
1052,293,197
1053,282,422
1054,188,155
1055,132,245
1056,16,405
1057,245,187
1058,433,48
1059,440,261
1060,203,209
1061,407,106
1062,309,220
1063,83,96
1064,190,19
1065,364,425
1066,343,334
1067,62,176
1068,58,118
1069,362,390
1070,180,403
1071,398,11
1072,435,254
1073,340,280
1074,328,25
1075,362,330
1076,176,29
1077,315,32
1078,1,247
1079,216,104
1080,254,206
1081,346,185
1082,56,181
1083,122,115
1084,114,159
1085,88,452
1086,85,59
1087,83,373
1088,252,233
1089,323,343
1090,376,70
1091,139,442
1092,241,260
1093,29,76
1094,412,234
1095,335,396
1096,315,145
1097,188,325
1098,153,448
1099,360,32
1100,160,394
1101,403,9
1102,195,37
1103,378,381
1104,135,362
1105,42,239
1106,119,10
1107,303,306
1108,334,237
1109,312,110
1110,45,251
1111,30,240
1112,123,86
1113,452,247
1114,323,300
1115,252,230
1116,202,47
1117,51,286
1118,81,288
1119,418,89
1120,28,313
1121,66,26
1122,135,300
1123,201,227
1124,35,372
1125,407,213
1126,453,261
1127,266,440
1128,120,172
1129,425,387
1130,254,34
1131,430,363
1132,437,294
1133,304,372
1134,226,391
1135,110,296
1136,246,450
1137,153,291
1138,59,79
1139,289,18
1140,95,342
1141,1,386
1142,300,6
1143,358,271
1144,378,94
1145,40,351
1146,95,376
1147,396,294
1148,157,87
1149,407,360
1150,18,132
1151,298,311
1152,152,302
1153,452,324
1154,283,204
1155,122,181
1156,344,122
1157,84,52
1158,390,246
1159,332,364
1160,363,119
1161,342,420
1162,392,27
1163,136,426
1164,185,127
1165,330,272
1166,370,125
1167,150,18
1168,261,453
1169,355,348
1170,60,36
1171,377,214
1172,247,358
1173,295,297
1174,297,74
1175,187,69
1176,1,91
1177,371,60
1178,225,404
1179,230,274
1180,56,62
1181,337,339
1182,407,219
1183,56,358
1184,13,436
1185,235,353
1186,217,401
1187,316,344
1188,270,308
1189,134,408
1190,43,306
1191,103,171
1192,345,164
1193,411,157
1194,162,151
1195,248,445
1196,375,103
1197,274,355
1198,326,201
1199,267,162
1200,63,238
1201,28,123
1202,400,431
1203,78,52
1204,329,301
1205,166,192
1206,363,109
1207,214,104
1208,137,449
1209,450,342
1210,448,439
1211,102,91
1212,12,216
1213,151,78
1214,102,320
1215,128,262
1216,136,158
1217,299,181
1218,25,111
1219,325,41
1220,235,406
1221,94,250
1222,63,199
1223,390,19
1224,167,331
1225,344,303
1226,34,24
1227,64,114
1228,436,116
1229,38,66
1230,331,214
1231,181,426
1232,69,87
1233,395,46
1234,88,214
1235,125,350
1236,307,210
1237,375,311
1238,288,273
1239,39,243
1240,20,206
1241,28,132
1242,7,323
1243,311,409
1244,390,389
1245,172,31
1246,49,453
1247,183,118
1248,272,321
1249,324,239
1250,203,272
1251,387,181
1252,412,223
1253,48,385
1254,285,266
1255,55,320
1256,98,428
1257,91,160
1258,413,340
1259,411,439
1260,433,88
1261,379,438
1262,80,431
1263,267,338
1264,26,419
1265,277,99
1266,190,390
1267,42,317
1268,62,393
1269,188,369
1270,396,175
1271,226,270
1272,263,394
1273,426,47
1274,407,38
1275,231,382
1276,393,259
1277,200,240
1278,115,76
1279,8,356
1280,415,107
1281,91,4
1282,82,10
1283,100,148
1284,170,213
1285,439,283
1286,18,244
1287,244,275
1288,371,86
1289,102,303
1290,158,427
1291,275,98
1292,217,179
1293,168,364
1294,174,221
1295,195,13
1296,379,152
1297,429,228
1298,77,204
1299,77,156
1300,207,452
1301,64,172
1302,140,251
1303,27,206
1304,356,128
1305,36,403
1306,310,201
1307,304,228
1308,409,371
1309,371,131
1310,206,181
1311,8,264
1312,110,40
1313,408,105
1314,453,139
1315,439,249
1316,363,251
1317,217,429
1318,251,17
1319,408,385
1320,318,234
1321,283,346
1322,353,143
1323,271,195
1324,309,403
1325,31,224
1326,216,288
1327,106,318
1328,321,166
1329,441,421
1330,315,425
1331,159,355
1332,24,140
1333,399,344
1334,42,323
1335,438,437
1336,210,286
1337,161,79
1338,305,173
1339,332,322
1340,364,428
1341,184,101
1342,255,145
1343,357,49
1344,451,454
1345,308,100
1346,268,96
1347,193,4
1348,118,74
1349,252,345
1350,225,226
1351,20,102
1352,97,361
1353,397,346
1354,436,294
1355,249,228
1356,452,269
1357,316,349
1358,450,401
1359,138,206
1360,128,47
1361,442,372
1362,44,100
1363,158,441
1364,407,39
1365,80,332
1366,385,407
1367,138,264
1368,367,99
1369,133,350
1370,184,396
1371,171,111
1372,40,153
1373,202,296
1374,184,176
1375,291,70
1376,41,288
1377,302,244
1378,335,344
1379,11,205
1380,414,370
1381,303,371
1382,375,261
1383,62,211
1384,231,405
1385,117,128
1386,446,291
1387,312,158
1388,265,271
1389,5,441
1390,233,264
1391,206,128
1392,188,102
1393,440,176
1394,447,26
1395,193,332
1396,378,41
1397,180,425
1398,126,446
1399,241,68
1400,14,299
1401,409,167
1402,137,421
1403,394,288
1404,77,72
1405,389,12
1406,287,426
1407,67,407
1408,111,266
1409,100,312
1410,238,364
1411,22,218
1412,344,377
1413,136,59
1414,326,215
1415,193,372
1416,17,32
1417,130,381
1418,360,256
1419,273,70
1420,120,374
1421,218,26
1422,378,384
1423,314,244
1424,426,339
1425,196,417
1426,163,343
1427,408,360
1428,13,361
1429,245,340
1430,85,297
1431,70,190
1432,368,376
1433,41,429
1434,144,92
1435,111,260
1436,109,64
1437,13,320
1438,325,118
1439,305,232
1440,258,374
1441,32,78
1442,103,174
1443,385,425
1444,338,352
1445,47,426
1446,172,451
1447,100,256
1448,73,120
1449,136,359
1450,450,188
1451,58,320
1452,369,73
1453,90,124
1454,81,151
1455,421,322
1456,427,84
1457,319,318
1458,356,427
1459,39,217
1460,103,110
1461,84,41
1462,342,270
1463,18,23
1464,401,385
1465,176,373
1466,124,173
1467,4,348
1468,319,302
1469,31,62
1470,86,68
1471,320,436
1472,221,378
1473,286,196
1474,100,363
1475,235,125
1476,13,77
1477,261,323
1478,321,69
1479,274,428
1480,237,286
1481,184,143
1482,373,217
1483,43,376
1484,3,182
1485,32,446
1486,289,414
1487,200,425
1488,184,86
1489,265,81
1490,227,299
1491,69,48
1492,279,105
1493,184,355
1494,450,298
1495,285,292
1496,424,283
1497,335,197
1498,127,106
1499,99,321
1500,326,439
1501,298,87
1502,92,168
1503,102,2
1504,30,89
1505,176,160
1506,61,39
1507,392,410
1508,1,418
1509,58,213
1510,12,7
1511,372,35
1512,451,153
1513,135,269
1514,234,70
1515,68,207
1516,151,318
1517,0,362
1518,371,147
1519,385,91
1520,329,241
1521,6,85
1522,243,25
1523,190,90
1524,287,302
1525,124,245
1526,249,222
1527,18,368
1528,214,174
1529,203,24
1530,416,386
1531,336,224
1532,412,62
1533,136,163
1534,348,403
1535,279,290
1536,419,332
1537,150,328
1538,241,281
1539,50,103
1540,44,251
1541,416,234
1542,34,214
1543,114,342
1544,318,103
1545,246,363
1546,336,301
1547,390,7
1548,85,351
1549,221,411
1550,50,34
1551,284,267
1552,65,203
1553,68,356
1554,9,444
1555,397,323
1556,5,62
1557,273,281
1558,386,93
1559,57,407
1560,305,194
1561,279,397
1562,300,55
1563,186,301
1564,312,178
1565,339,255
1566,22,145
1567,139,167
1568,112,168
1569,418,138
1570,275,447
1571,246,35
1572,265,151
1573,346,448
1574,12,253
1575,352,101
1576,420,1
1577,121,84
1578,420,216
1579,59,375
1580,424,346
1581,236,297
1582,12,197
1583,288,305
1584,441,161
1585,323,433
1586,283,259
1587,276,0
1588,390,12
1589,16,122
1590,107,314
1591,94,394
1592,362,224
1593,18,146
1594,76,292
1595,266,326
1596,190,145
1597,91,302
1598,186,161
1599,37,345
1600,392,212
1601,322,247
1602,351,394
1603,53,322
1604,403,295
1605,293,70
1606,223,205
1607,109,218
1608,115,8
1609,161,262
1610,378,236
1611,379,222
1612,69,303
1613,377,201
1614,331,324
1615,22,69
1616,198,25
1617,393,303
1618,219,169
1619,75,111
1620,211,347
1621,107,167
1622,73,4
1623,338,202
1624,323,76
1625,408,173
1626,2,42
1627,425,58
1628,288,309
1629,244,68
1630,371,104
1631,241,81
1632,74,281
1633,145,268
1634,325,138
1635,64,375
1636,155,180
1637,30,449
1638,389,272
1639,200,227
1640,349,330
1641,240,345
1642,350,272
1643,122,453
1644,260,78
1645,143,346
1646,196,170
1647,48,154
1648,287,431
1649,160,128
1650,330,185
1651,340,35
1652,28,380
1653,115,181
1654,195,228
1655,321,71
1656,310,170
1657,424,218
1658,230,8
1659,255,453
1660,38,414
1661,51,5
1662,237,428
1663,392,338
1664,75,445
1665,420,141
1666,159,432
1667,135,85
1668,4,228
1669,421,105
1670,310,298
1671,411,149
1672,97,151
1673,0,49
1674,62,272
1675,407,192
1676,228,217
1677,199,64
1678,394,118
1679,108,372
1680,265,279
1681,234,325
1682,135,30
1683,346,139
1684,141,106
1685,104,384
1686,290,261
1687,270,171
1688,190,266
1689,192,397
1690,438,115
1691,347,161
1692,422,438
1693,391,384
1694,142,262
1695,415,143
1696,148,277
1697,228,378
1698,393,34
1699,149,159
1700,449,371
1701,47,108
1702,416,3
1703,63,296
1704,16,198
1705,439,218
1706,110,45
1707,107,255
1708,18,223
1709,114,195
1710,30,302
1711,253,228
1712,2,109
1713,268,52
1714,16,354
1715,273,224
1716,57,166
1717,6,381
1718,101,357
1719,336,113
1720,104,422
1721,147,397
1722,280,151
1723,224,315
1724,369,415
1725,156,252
1726,247,11
1727,446,88
1728,346,428
1729,440,234
1730,125,294
1731,158,102
1732,189,38
1733,161,386
1734,152,403
1735,384,275
1736,194,104
1737,251,305
1738,98,249
1739,263,406
1740,178,296
1741,275,43
1742,210,161
1743,311,227
1744,407,88
1745,240,1
1746,137,238
1747,221,85
1748,138,199
1749,385,112
1750,207,135
1751,202,292
1752,70,282
1753,432,270
1754,255,278
1755,247,22
1756,38,158
1757,156,89
1758,63,435
1759,198,36
1760,215,269
1761,245,226
1762,142,32
1763,443,9
1764,117,428
1765,81,30
1766,14,210
1767,1,263
1768,0,271
1769,129,381
1770,258,81
1771,100,452
1772,250,246
1773,156,208
1774,199,82
1775,157,249
1776,21,36
1777,15,196
1778,198,282
1779,157,194
1780,181,40
1781,235,136
1782,303,190
1783,152,76
1784,227,230
1785,87,139
1786,434,57
1787,162,372
1788,88,236
1789,419,50
1790,13,448
1791,441,365
1792,128,223
1793,114,284
1794,30,376
1795,290,254
1796,122,188
1797,223,184
1798,126,152
1799,316,61
1800,127,100
1801,360,293
1802,3,260
1803,339,88
1804,33,447
1805,36,372
1806,345,29
1807,161,105
1808,330,225
1809,55,438
1810,218,151
1811,401,100
1812,17,376
1813,339,268
1814,84,133
1815,222,283
1816,73,103
1817,196,382
1818,96,135
1819,238,71
1820,174,128
1821,160,398
1822,126,79
1823,207,319
1824,177,172
1825,230,203
1826,172,430
1827,410,384
1828,444,10
1829,410,434
1830,307,264
1831,385,132
1832,416,65
1833,384,206
1834,353,36
1835,135,210
1836,319,7
1837,38,300
1838,361,346
1839,441,176
1840,149,12
1841,224,349
1842,438,359
1843,378,312
1844,184,160
1845,451,48
1846,171,435
1847,112,288
1848,182,235
1849,385,391
1850,124,84
1851,85,447
1852,340,206
1853,21,225
1854,257,18
1855,294,233
1856,234,87
1857,96,335
1858,394,352
1859,348,176
1860,89,318
1861,95,282
1862,46,124
1863,13,208
1864,320,118
1865,178,155
1866,89,253
1867,239,167
1868,276,282
1869,248,184
1870,77,419
1871,382,368
1872,245,1
1873,52,144
1874,287,410
1875,347,211
1876,423,190
1877,220,338
1878,163,303
1879,101,345
1880,18,253
1881,155,188
1882,5,443
1883,156,135
1884,259,296
1885,453,342
1886,53,1
1887,419,26
1888,301,414
1889,285,227
1890,359,79
1891,110,400
1892,1,267
1893,310,208
1894,220,289
1895,65,142
1896,4,328
1897,327,427
1898,401,62
1899,213,227
1900,409,139
1901,250,209
1902,190,420
1903,246,440
1904,348,52
1905,191,242
1906,431,195
1907,421,187
1908,98,402
1909,434,16
1910,413,130
1911,292,437
1912,330,369
1913,227,322
1914,265,29
1915,377,292
1916,143,450
1917,181,15
1918,71,166
1919,36,351
1920,227,181
1921,395,32
1922,269,344
1923,315,362
1924,76,145
1925,73,315
1926,334,275
1927,121,402
1928,259,28
1929,423,400
1930,358,231
1931,168,126
1932,447,124
1933,124,390
1934,282,313
1935,144,432
1936,144,231
1937,351,68
1938,61,141
1939,407,228
1940,126,86
1941,10,190
1942,409,442
1943,211,279
1944,13,99
1945,155,319
1946,14,292
1947,304,345
1948,398,104
1949,356,61
1950,420,231
1951,300,175
1952,304,96
1953,414,17
1954,442,93
1955,24,371
1956,304,136
1957,283,390
1958,33,13
1959,354,150
1960,9,340
1961,329,205
1962,391,201
1963,206,413
1964,223,294
1965,78,53
1966,91,144
1967,19,343
1968,328,406
1969,175,302
1970,382,222
1971,85,298
1972,67,273
1973,141,160
1974,407,318
1975,168,321
1976,55,46
1977,145,421
1978,209,322
1979,208,440
1980,390,454
1981,212,346
1982,358,41
1983,66,284
1984,188,27
1985,253,267
1986,16,350
1987,295,7
1988,349,365
1989,343,283
1990,313,315
1991,345,275
1992,159,348
1993,374,136
1994,170,233
1995,52,328
1996,179,351
1997,435,253
1998,109,321
1999,343,410
2000,105,332
2001,385,406
2002,322,296
2003,332,315
2004,253,451
2005,407,281
2006,50,31
2007,203,213
2008,88,3
2009,398,193
2010,437,159
2011,321,334
2012,130,194
2013,317,228
2014,427,377
2015,3,421
2016,306,22
2017,270,181
2018,71,171
2019,12,146
2020,424,82
2021,253,60
2022,333,262
2023,340,378
2024,449,265
2025,223,18
2026,423,378
2027,100,237
2028,20,91
2029,354,60
2030,348,23
2031,361,318
2032,221,46
2033,156,48
2034,50,258
2035,20,221
2036,120,235
2037,448,322
2038,2,29
2039,98,296
2040,110,187
2041,178,220
2042,40,229
2043,338,124
2044,363,179
2045,56,203
2046,250,235
2047,154,112
2048,364,330
2049,282,88
2050,340,443
2051,211,119
2052,296,170
2053,69,2
2054,288,342
2055,76,407
2056,147,151
2057,223,31
2058,323,246
2059,119,426
2060,414,86
2061,413,331
2062,151,240
2063,352,53
2064,86,48
2065,26,221
2066,313,368
2067,7,288
2068,54,419
2069,62,348
2070,394,402
2071,406,368
2072,133,323
2073,221,244
2074,34,33
2075,334,278
2076,317,288
2077,341,36
2078,141,288
2079,23,131
2080,23,408
2081,135,278
2082,5,408
2083,418,174
2084,142,41
2085,229,83
2086,344,201
2087,398,30
2088,71,69
2089,287,61
2090,187,441
2091,303,222
2092,164,8
2093,42,171
2094,330,108
2095,299,444
2096,278,115
2097,60,209
2098,211,32
2099,158,348
2100,204,228
2101,336,356
2102,39,120
2103,106,224
2104,427,34
2105,169,305
2106,170,368
2107,20,60
2108,172,171
2109,430,450
2110,124,104
2111,144,109
2112,128,251
2113,5,223
2114,349,218
2115,106,311
2116,254,202
2117,122,385
2118,375,35
2119,145,278
2120,37,371
2121,196,93
2122,345,280
2123,95,58
2124,121,232
2125,385,138
2126,266,309
2127,366,326
2128,139,39
2129,97,199
2130,7,224
2131,436,68
2132,170,361
2133,164,280
2134,168,422
2135,130,23
2136,118,439
2137,191,287
2138,232,168
2139,395,82
2140,150,409
2141,61,276
